epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.765,3.87265,4.60476,4.24952,0.0001,0.00327,5e-05,2e-05,4.51422,17.3368,4.16199,0.0003,0.0003,0.0003
2,390.014,3.59989,4.07954,4.04114,0.0001,0.00374,5e-05,2e-05,4.55493,16.6416,4.19811,0.000606436,0.000606436,0.000606436
3,579.456,3.36808,3.63084,3.64284,0.00013,0.00421,7e-05,3e-05,4.71859,16.1262,4.42059,0.000906685,0.000906685,0.000906685
4,768.47,3.13542,3.45388,3.32234,0.00012,0.00374,6e-05,2e-05,4.75814,14.3913,4.55358,0.00120075,0.00120075,0.00120075
5,958.07,3.06676,3.20605,3.12709,0.00025,0.00573,0.00015,4e-05,4.66161,12.3017,4.34026,0.0012005,0.0012005,0.0012005
6,1152.22,2.90376,3.03402,2.86496,0.08698,0.20487,0.05418,0.01861,2.83949,15.0809,2.97522,0.00118812,0.00118812,0.00118812
7,1347.5,2.86679,3.00734,2.80892,0.77999,0.21459,0.16105,0.05586,2.63815,12.555,2.81883,0.00117575,0.00117575,0.00117575
8,1543.42,2.65677,2.74467,2.67249,0.42319,0.40521,0.36538,0.14654,2.36663,6.83517,2.52177,0.00116337,0.00116337,0.00116337
9,1736.78,2.53339,2.63897,2.52805,0.87266,0.26891,0.33232,0.11955,2.35379,14.926,2.42523,0.001151,0.001151,0.001151
10,1928.96,2.45956,2.60434,2.46595,0.45878,0.48009,0.48074,0.23854,2.06127,5.17437,2.18403,0.00113863,0.00113863,0.00113863
11,2121.37,2.29283,2.36916,2.33057,0.55499,0.46223,0.4838,0.23155,2.22891,7.7053,2.29611,0.00112625,0.00112625,0.00112625
12,2311.63,2.23118,2.21252,2.31968,0.56972,0.52744,0.58135,0.30306,1.88853,4.5492,2.07048,0.00111388,0.00111388,0.00111388
13,2500.23,2.23168,2.23007,2.25036,0.69056,0.43342,0.53445,0.28221,1.86255,3.8602,2.07275,0.0011015,0.0011015,0.0011015
14,2689.31,2.1508,2.13382,2.18997,0.65714,0.55493,0.62658,0.3142,1.84404,3.17493,2.02493,0.00108913,0.00108913,0.00108913
15,2879.13,2.11553,1.98586,2.12608,0.73914,0.59843,0.68354,0.34212,1.79001,3.52738,1.97817,0.00107675,0.00107675,0.00107675
16,3069.45,2.01547,1.91877,2.07844,0.73527,0.63319,0.71021,0.39821,1.68447,3.58766,1.86928,0.00106437,0.00106437,0.00106437
17,3258.03,1.90401,1.89618,2.02258,0.68823,0.55974,0.65182,0.35795,1.74082,3.35487,1.92047,0.001052,0.001052,0.001052
18,3448.17,1.97856,1.90055,1.99629,0.73328,0.66663,0.7267,0.40427,1.69818,3.5616,1.85605,0.00103962,0.00103962,0.00103962
19,3638.29,1.8766,1.82926,1.89061,0.6813,0.60937,0.7207,0.39777,1.70723,3.06215,1.89489,0.00102725,0.00102725,0.00102725
20,3827.04,1.8963,1.77761,1.93116,0.79024,0.65464,0.75291,0.43097,1.60787,3.44136,1.79317,0.00101488,0.00101488,0.00101488
21,4017.37,1.8102,1.78169,1.88472,0.79382,0.6533,0.76624,0.44784,1.59565,2.69022,1.77383,0.0010025,0.0010025,0.0010025
22,4205.02,1.7374,1.63447,1.81901,0.74437,0.70174,0.7777,0.45946,1.55845,2.4161,1.75303,0.000990125,0.000990125,0.000990125
23,4392.79,1.78295,1.65215,1.85729,0.81821,0.70636,0.80122,0.47579,1.52936,2.53986,1.71444,0.00097775,0.00097775,0.00097775
24,4581.66,1.74368,1.59418,1.82521,0.79236,0.71209,0.77443,0.44396,1.59003,2.46229,1.72558,0.000965375,0.000965375,0.000965375
25,4771.64,1.75333,1.63088,1.80611,0.8104,0.71774,0.81437,0.48456,1.47321,2.64992,1.67406,0.000953,0.000953,0.000953
26,4963.26,1.64376,1.47816,1.72085,0.81786,0.73425,0.82591,0.48825,1.61649,2.34046,1.74869,0.000940625,0.000940625,0.000940625
27,5152.98,1.67067,1.59016,1.77502,0.82016,0.73909,0.82165,0.48086,1.53609,2.81513,1.72709,0.00092825,0.00092825,0.00092825
28,5339.34,1.66782,1.50128,1.73307,0.85022,0.77511,0.84098,0.51764,1.44906,2.24405,1.63801,0.000915875,0.000915875,0.000915875
29,5526.12,1.61625,1.39818,1.6759,0.79821,0.73503,0.78386,0.47499,1.47446,2.0378,1.66078,0.0009035,0.0009035,0.0009035
30,5714.86,1.62181,1.37459,1.70499,0.84178,0.75927,0.83271,0.50377,1.4718,2.53766,1.65421,0.000891125,0.000891125,0.000891125
31,5903.33,1.58511,1.40591,1.69101,0.88214,0.76463,0.86325,0.52987,1.47321,2.32921,1.64282,0.00087875,0.00087875,0.00087875
32,6090.75,1.58583,1.31189,1.6445,0.86031,0.78876,0.86723,0.55869,1.36847,1.86868,1.56824,0.000866375,0.000866375,0.000866375
33,6279.43,1.57272,1.3157,1.69213,0.83642,0.81473,0.88942,0.55671,1.4377,2.15258,1.59608,0.000854,0.000854,0.000854
34,6466.3,1.57688,1.33992,1.67873,0.87441,0.8092,0.8887,0.56024,1.42145,1.88862,1.60127,0.000841625,0.000841625,0.000841625
35,6653.8,1.49713,1.22859,1.59246,0.90502,0.78108,0.89173,0.57509,1.40118,1.62366,1.57321,0.00082925,0.00082925,0.00082925
36,6841.62,1.55639,1.40323,1.69029,0.89687,0.81028,0.89215,0.56779,1.39631,1.86194,1.57947,0.000816875,0.000816875,0.000816875
37,7028.68,1.51677,1.26662,1.626,0.88834,0.7944,0.88766,0.56422,1.37368,1.67371,1.55747,0.0008045,0.0008045,0.0008045
38,7215.79,1.51862,1.25233,1.62768,0.88362,0.81198,0.89348,0.56407,1.41524,1.96399,1.58305,0.000792125,0.000792125,0.000792125
39,7403.5,1.51347,1.19369,1.57871,0.90324,0.80343,0.89929,0.58169,1.36168,1.88346,1.53375,0.00077975,0.00077975,0.00077975
40,7591.18,1.51214,1.22173,1.58923,0.89361,0.82813,0.90778,0.59221,1.38607,1.66414,1.54344,0.000767375,0.000767375,0.000767375
41,7779.81,1.46766,1.17481,1.564,0.85812,0.82765,0.89143,0.58639,1.33302,1.53928,1.52364,0.000755,0.000755,0.000755
42,7966.22,1.48753,1.20915,1.6145,0.88684,0.81277,0.89272,0.58041,1.3983,1.83295,1.53656,0.000742625,0.000742625,0.000742625
43,8153.95,1.45699,1.19595,1.55352,0.86197,0.83798,0.89105,0.57518,1.33674,2.19397,1.52527,0.00073025,0.00073025,0.00073025
44,8344.31,1.42721,1.17567,1.555,0.88683,0.8419,0.91721,0.59066,1.35453,1.66172,1.53552,0.000717875,0.000717875,0.000717875
45,8533.46,1.44012,1.16455,1.54926,0.8927,0.84167,0.9032,0.5977,1.33537,1.54028,1.52529,0.0007055,0.0007055,0.0007055
46,8723.43,1.42609,1.11535,1.54219,0.89682,0.84443,0.91835,0.59959,1.32405,1.55475,1.498,0.000693125,0.000693125,0.000693125
47,8909.95,1.43907,1.13252,1.55889,0.88929,0.85072,0.92015,0.60464,1.31648,1.72911,1.49992,0.00068075,0.00068075,0.00068075
48,9096.07,1.44664,1.12467,1.52906,0.89518,0.857,0.91988,0.60848,1.30188,1.61333,1.49774,0.000668375,0.000668375,0.000668375
49,9283.65,1.43118,1.14315,1.54128,0.89201,0.8659,0.92881,0.61797,1.2904,1.54772,1.47026,0.000656,0.000656,0.000656
50,9470.3,1.40355,1.09375,1.52186,0.88915,0.85812,0.92619,0.61665,1.32355,1.49044,1.48828,0.000643625,0.000643625,0.000643625
51,9656.6,1.41461,1.10439,1.52522,0.90012,0.85643,0.92842,0.62163,1.24099,1.35732,1.44211,0.00063125,0.00063125,0.00063125
52,9845.22,1.40323,1.07366,1.52721,0.89645,0.87703,0.93293,0.61489,1.31551,1.31602,1.48829,0.000618875,0.000618875,0.000618875
53,10034.9,1.44823,1.11934,1.50297,0.89415,0.862,0.92908,0.61194,1.29247,1.3522,1.46027,0.0006065,0.0006065,0.0006065
54,10223.1,1.39694,1.0584,1.51303,0.92252,0.84537,0.92955,0.62346,1.27108,1.33293,1.45652,0.000594125,0.000594125,0.000594125
55,10412.5,1.35386,1.05086,1.48221,0.89534,0.88534,0.93337,0.62716,1.27803,1.42308,1.4703,0.00058175,0.00058175,0.00058175
56,10600,1.41436,1.09148,1.53894,0.87942,0.87922,0.92396,0.61713,1.29318,1.30317,1.47457,0.000569375,0.000569375,0.000569375
57,10787.2,1.33234,1.00529,1.45479,0.89626,0.88479,0.93597,0.64257,1.27215,1.3707,1.44017,0.000557,0.000557,0.000557
58,10974.7,1.36595,1.02349,1.50537,0.92479,0.86491,0.93738,0.63989,1.24414,1.1871,1.41374,0.000544625,0.000544625,0.000544625
59,11161.8,1.34923,1.01806,1.48813,0.91049,0.86722,0.93491,0.6406,1.2514,1.20086,1.43087,0.00053225,0.00053225,0.00053225
60,11348.8,1.36988,0.98361,1.47971,0.90832,0.9,0.94884,0.648,1.24113,1.13447,1.42279,0.000519875,0.000519875,0.000519875
61,11534.5,1.32586,1.01277,1.46787,0.88708,0.89216,0.93925,0.63855,1.2315,1.26159,1.42702,0.0005075,0.0005075,0.0005075
62,11721.3,1.40716,1.03255,1.48135,0.9135,0.88501,0.94134,0.62268,1.26686,1.25392,1.43342,0.000495125,0.000495125,0.000495125
63,11912.8,1.38421,0.97885,1.48563,0.91296,0.88815,0.94566,0.63579,1.22163,1.25239,1.42407,0.00048275,0.00048275,0.00048275
64,12103.5,1.30696,0.94721,1.42385,0.90838,0.90051,0.94641,0.65429,1.22914,1.17761,1.40657,0.000470375,0.000470375,0.000470375
65,12294.3,1.34477,0.99003,1.47922,0.91695,0.89251,0.94636,0.64309,1.2354,1.16339,1.41665,0.000458,0.000458,0.000458
66,12480.8,1.28857,0.94226,1.43115,0.92014,0.87992,0.94899,0.65016,1.23639,1.08185,1.39716,0.000445625,0.000445625,0.000445625
67,12666.9,1.29387,0.94676,1.44172,0.90865,0.9062,0.95062,0.67079,1.18342,1.07125,1.37901,0.00043325,0.00043325,0.00043325
68,12852.6,1.31031,0.96453,1.47382,0.9219,0.88953,0.94618,0.64628,1.222,1.06989,1.40298,0.000420875,0.000420875,0.000420875
69,13040.1,1.27996,0.89999,1.40947,0.90146,0.91344,0.95351,0.66579,1.18127,1.12364,1.38065,0.0004085,0.0004085,0.0004085
70,13229.8,1.26543,0.91317,1.40424,0.91808,0.89987,0.95339,0.66801,1.19216,1.04432,1.37637,0.000396125,0.000396125,0.000396125
71,13417.8,1.31031,0.94206,1.4591,0.92441,0.90235,0.95165,0.66909,1.19475,1.10724,1.38518,0.00038375,0.00038375,0.00038375
72,13603.9,1.31513,0.96205,1.47356,0.90931,0.90908,0.95339,0.67579,1.16357,1.1099,1.35716,0.000371375,0.000371375,0.000371375
73,13790.9,1.27657,0.91391,1.43731,0.91233,0.90931,0.95419,0.66861,1.18055,1.06542,1.38307,0.000359,0.000359,0.000359
74,13976.1,1.25074,0.8824,1.40317,0.91762,0.90371,0.95464,0.67296,1.17294,1.07004,1.36048,0.000346625,0.000346625,0.000346625
75,14163.5,1.26773,0.89985,1.401,0.91936,0.90498,0.95017,0.67506,1.15236,1.08583,1.35088,0.00033425,0.00033425,0.00033425
76,14350.5,1.28169,0.9008,1.41067,0.92202,0.90633,0.95745,0.67808,1.16588,1.04054,1.37768,0.000321875,0.000321875,0.000321875
77,14536.3,1.25144,0.89102,1.40803,0.93223,0.91171,0.96195,0.68394,1.16406,0.97727,1.35401,0.0003095,0.0003095,0.0003095
78,14723.9,1.2582,0.8798,1.3965,0.90987,0.91581,0.95588,0.6788,1.13746,1.0438,1.34704,0.000297125,0.000297125,0.000297125
79,14909.8,1.25956,0.85709,1.40426,0.92753,0.90569,0.96089,0.68631,1.15723,1.0195,1.34885,0.00028475,0.00028475,0.00028475
80,15097.4,1.2686,0.93159,1.42213,0.92854,0.9098,0.96036,0.68375,1.15571,0.97724,1.34063,0.000272375,0.000272375,0.000272375
81,15283.6,1.21466,0.85492,1.35616,0.92931,0.90981,0.96008,0.68847,1.13512,0.96516,1.34435,0.00026,0.00026,0.00026
82,15470.6,1.25614,0.86374,1.4242,0.93082,0.90554,0.95907,0.68547,1.15752,0.95065,1.34257,0.000247625,0.000247625,0.000247625
83,15660.8,1.2221,0.84273,1.37824,0.91763,0.91921,0.95947,0.68274,1.14214,1.02168,1.34364,0.00023525,0.00023525,0.00023525
